时间(s),front_end_face_预测,front_end_face_真实,front_end_face_误差,cooling_top_1_预测,cooling_top_1_真实,cooling_top_1_误差,rear_bearing_outer_预测,rear_bearing_outer_真实,rear_bearing_outer_误差,front_bearing_inner_预测,front_bearing_inner_真实,front_bearing_inner_误差,rear_bearing_inner_预测,rear_bearing_inner_真实,rear_bearing_inner_误差,spindle_tail_预测,spindle_tail_真实,spindle_tail_误差,spindle_bottom_预测,spindle_bottom_真实,spindle_bottom_误差
0,22.238235,23.0,-0.7617650000000005,21.810673,22.4,-0.5893269999999973,22.425838,22.1,0.3258379999999974,25.58202,22.7,2.8820200000000007,25.708683,22.7,3.0086830000000013,22.353466,22.5,-0.14653399999999905,22.275478,22.2,0.07547800000000038
399,33.206993,31.5,1.706992999999997,29.373888,27.6,1.7738879999999995,30.734266,23.7,7.034266000000002,36.669853,33.2,3.4698530000000005,33.579548,33.8,-0.22045199999999454,29.244205,23.1,6.1442049999999995,28.392057,23.4,4.992057000000003
799,35.54456,36.4,-0.8554400000000015,30.818316,30.6,0.21831599999999796,32.824814,24.7,8.124814000000004,40.543587,37.8,2.743587000000005,37.11842,38.1,-0.981580000000001,30.91787,24.1,6.817869999999999,29.867004,24.6,5.267004
1199,36.41529,38.3,-1.8847099999999983,31.357286,31.2,0.15728599999999915,33.405285,25.1,8.305284999999998,41.483276,39.5,1.9832759999999965,37.699078,39.0,-1.300922,31.376179,24.4,6.976179000000002,30.255726,25.0,5.255725999999999
1599,36.67324,38.9,-2.2267599999999987,31.53291,31.7,-0.16708999999999818,33.63473,25.3,8.334729999999997,41.833977,40.1,1.7339769999999959,38.017517,39.2,-1.1824830000000048,31.575932,24.6,6.975932,30.435373,25.2,5.235372999999999
1999,36.757236,39.1,-2.3427640000000025,31.588425,31.8,-0.21157499999999985,33.704193,25.3,8.404192999999996,41.941257,40.3,1.641257000000003,38.10746,38.9,-0.7925399999999954,31.634846,24.7,6.934846,30.487608,25.4,5.087608000000003
2399,36.785954,39.2,-2.414046000000006,31.60586,31.8,-0.19414000000000087,33.721855,25.3,8.421854999999997,41.97071,40.4,1.5707099999999983,38.12316,38.5,-0.3768400000000014,31.648355,24.7,6.948354999999999,30.498852,25.3,5.198851999999999
2799,36.793617,39.3,-2.5063829999999996,31.6115,31.9,-0.2884999999999991,33.73079,25.4,8.33079,41.984158,40.4,1.5841580000000022,38.138325,38.1,0.03832500000000039,31.656471,24.8,6.856470999999999,30.506351,25.4,5.106351
3199,36.796646,39.3,-2.5033539999999945,31.614038,31.9,-0.28596199999999783,33.733635,25.4,8.333635000000001,41.987843,40.4,1.5878429999999994,38.141926,37.8,0.34192600000000084,31.659363,24.8,6.859362999999998,30.509129,25.3,5.209129000000001
3599,37.202015,39.2,-1.997985,32.04101,31.9,0.1410100000000014,33.59847,25.4,8.19847,41.34121,40.3,1.0412099999999995,36.859028,37.6,-0.7409719999999993,31.611597,24.7,6.911597,30.499922,25.2,5.299922000000002
